"COSMIC","Cosine_Sig1","PeakSensitive_Sig1","Cosine_Sig2","PeakSensitive_Sig2","Cosine_Sig3","PeakSensitive_Sig3"
"SBS45",0.057,0.0586536051935924,0.673,0.672999113957384,0.292,0.321353179628561
"SBS46",0.213,0.222666891191952,0.187,0.222202718017909,0.372,0.439804800603372
"SBS47",0.071,0.080910358806916,0.152,0.161206207951158,0.214,0.223478586949564
"SBS48",0.006,0.00578099935202683,0.093,0.0927836166199233,0.027,0.0272380307070011
"SBS49",0.011,0.0122319827448735,0.312,0.311673098560432,0.182,0.183129334685478
"SBS50",0.118,0.141620501100779,0.289,0.296088314465393,0.358,0.38380350990518
"SBS51",0.144,0.157085946159511,0.233,0.251520341283819,0.253,0.264676644174136
"SBS52",0.034,0.0349101676628915,0.241,0.24138777381265,0.17,0.176600495062621
"SBS53",0.077,0.081112610205907,0.288,0.290586728645312,0.37,0.374950500569364
"SBS54",0.196,0.197870780415194,0.11,0.123456540065888,0.175,0.183063166995786
"SBS55",0.055,0.059661665881552,0.099,0.0998921221560007,0.135,0.147980376084777
"SBS56",0.063,0.0627325336932167,0.319,0.319390832535332,0.135,0.136997386710088
"SBS57",0.147,0.174438582105605,0.138,0.161955449045147,0.255,0.258305276575324
"SBS58",0.127,0.138774836485552,0.209,0.217486199316037,0.307,0.314232113051757
"SBS59",0.012,0.0121865065602447,0.402,0.402807644593706,0.319,0.319738355402244
"SBS60",0.013,0.0130131108974867,0.063,0.0633642781902106,0.062,0.062625855254105
"SBS84",0.218,0.230510748384951,0.159,0.188846610039884,0.393,0.394758010969408
"SBS85",0.09,0.0944713565596334,0.087,0.10235382150025,0.169,0.199049430470357
"SBS86",0.136,0.156100029595209,0.199,0.200383553904678,0.401,0.432062511872078
"SBS87",0.654,0.717604821051593,0.295,0.31004930504077,0.277,0.331677254284181
"SBS88",0.103,0.123356389315656,0.109,0.140056262707665,0.119,0.132679352237678
"SBS89",0.177,0.217637276189441,0.492,0.521567529537493,0.583,0.62574698519669
"SBS90",0.029,0.0307857866777529,0.023,0.0256741424465426,0.092,0.0936644274795917
"SBS91",0.044,0.0438297470272216,0.198,0.198473969762785,0.142,0.142183272196083
"SBS92",0.277,0.293592533460866,0.385,0.456398542048658,0.475,0.527467728682672
"SBS93",0.218,0.283860578732836,0.216,0.292960516362593,0.474,0.509547421338625
"SBS94",0.326,0.352978843452346,0.756,0.800855172313083,0.553,0.607544007463378
"SBS95",0.179,0.195441526911787,0.822,0.847319329110616,0.567,0.591804810937962
"SBS96",0.248,0.294540167169305,0.249,0.276212633565111,0.361,0.416270249165255
"SBS97",0.191,0.191823339137745,0.118,0.118620437189701,0.281,0.281130311130314
"SBS98",0.337,0.401981195127144,0.252,0.282373348394067,0.288,0.322524151282424
"SBS99",0.148,0.179529685837835,0.207,0.234272279681862,0.446,0.468547965621211
